日期,FB IMP,FB Clicks,FB Spending,GDN IMP,GDN Clicks,GDN Spending
2018年6月1日,56990,1398,3913,104224,358,1106.163631
2018年6月2日,51023,1245,4699,127222,404,1005.577744
2018年6月3日,51205,1240,4682,113703,348,865.566598
2018年6月4日,53377,1338,4769,77122,358,880.166752
2018年6月5日,51903,1239,4753,122233,494,1218.9757
2018年6月6日,58406,1225,4851,131398,583,1313.280755
2018年6月7日,59687,1254,4776,147531,564,1252.858811
2018年6月8日,64852,1306,5444,137785,391,1535.338012
2018年6月9日,68380,1528,6307,164496,484,1507.11936
2018年6月10日,64757,1358,6282,164021,501,1736.317559
2018年6月11日,64811,1453,6309,155417,550,1629.726464
2018年6月12日,69178,1354,6401,154639,482,1555.455147
2018年6月13日,68324,1606,6863,108390,433,1021.354343
2018年6月14日,63169,1395,6425,141195,538,1451.928633
2018年6月15日,77576,1582,6515,169208,501,2239.025416
2018年6月16日,84250,1677,7291,183873,544,2093.510426
2018年6月17日,79987,1559,7172,173118,358,1543.292791
2018年6月18日,86561,1767,7508,44247,64,280.055615
2018年6月19日,85276,1786,7480,231710,622,2908.120724
2018年6月20日,85963,1936,7815,141275,533,1644.29857
2018年6月21日,89515,1778,7509,148768,560,1622.478355
2018年6月22日,107720,2013,7921,,,
2018年6月23日,109015,2010,8422,174266,560,2101.108788
2018年6月24日,103184,1831,8337,192261,588,1672.363421
2018年6月25日,94766,1599,7801,247943,995,2351.442616
2018年6月26日,36127,677,3200,46364,149,481.161768
2018年6月28日,12188,172,727,,,
2018年6月29日,12676,161,671,,,
2018年6月30日,12238,153,648,,,
